,nation,frequency,id
0,England,1657,GBR
1,Germany,1195,DEU
2,Spain,1071,ESP
3,Argentina,935,ARG
4,France,911,FRA
5,Brazil,825,BRA
6,Italy,699,ITA
7,Colombia,616,COL
8,Japan,478,JPN
9,Netherlands,452,NLD
10,Sweden,394,SWE
11,China PR,390,
12,Chile,388,CHL
13,Republic of Ireland,368,
14,Mexico,365,MEX
15,United States,353,
16,Poland,347,POL
17,Norway,341,NOR
18,Saudi Arabia,337,SAU
19,Denmark,335,DNK
20,Korea Republic,333,
21,Portugal,321,PRT
22,Turkey,303,TUR
23,Austria,296,AUT
24,Scotland,283,
25,Belgium,259,BEL
26,Australia,234,AUS
27,Switzerland,220,CHE
28,Uruguay,146,URY
29,Senegal,130,SEN
30,Wales,128,
31,Croatia,126,HRV
32,Serbia,126,
33,Nigeria,121,NGA
34,Ghana,114,GHA
35,Greece,100,GRC
36,Czech Republic,99,CZE
37,Ivory Coast,91,CIV
38,Cameroon,88,CMR
39,Morocco,85,MAR
40,Northern Ireland,79,
41,Ukraine,73,UKR
42,Russia,69,RUS
43,Finland,65,FIN
44,Paraguay,65,PRY
45,Bosnia Herzegovina,61,
46,Algeria,60,DZA
47,Venezuela,59,VEN
48,Canada,59,CAN
49,South Africa,55,ZAF
50,Slovakia,54,SVK
51,DR Congo,52,
52,Slovenia,50,SVN
53,Mali,43,MLI
54,Romania,41,ROU
55,Albania,39,ALB
56,Iceland,38,ISL
57,New Zealand,34,NZL
58,Kosovo,33,-99
59,Tunisia,32,TUN
60,Jamaica,32,JAM
61,Guinea,31,GIN
62,Ecuador,31,ECU
63,Peru,30,PER
64,Costa Rica,30,CRI
65,Georgia,26,GEO
66,Congo,25,
67,Montenegro,23,MNE
68,Hungary,22,HUN
69,Egypt,20,EGY
70,FYR Macedonia,20,
71,Cape Verde,19,
72,Iran,17,IRN
73,Honduras,16,HND
74,Burkina Faso,16,BFA
75,Gabon,15,GAB
76,Benin,15,BEN
77,Angola,15,AGO
78,Panama,15,PAN
79,Guinea Bissau,15,GNB
80,Gambia,15,GMB
81,Israel,14,ISR
82,Curacao,14,
83,Zimbabwe,13,ZWE
84,Togo,12,TGO
85,Bulgaria,12,BGR
86,Madagascar,12,MDG
87,Estonia,12,EST
88,Armenia,10,ARM
89,Haiti,10,HTI
90,Kenya,10,KEN
91,Zambia,9,ZMB
92,Syria,9,SYR
93,Lithuania,8,LTU
94,Luxembourg,8,LUX
95,Cyprus,8,CYP
96,Iraq,7,IRQ
97,Bolivia,6,BOL
98,Sierra Leone,6,SLE
99,Comoros,6,
100,Faroe Islands,6,
101,Uganda,6,UGA
102,Latvia,6,LVA
103,Equatorial Guinea,5,GNQ
104,El Salvador,5,SLV
105,Thailand,5,THA
106,Moldova,5,MDA
107,Azerbaijan,5,AZE
108,Antigua & Barbuda,4,
109,Cuba,4,CUB
110,Korea DPR,4,
111,Trinidad & Tobago,4,
112,Libya,4,LBY
113,Montserrat,4,
114,Mauritania,4,MRT
115,Belarus,4,BLR
116,Mozambique,4,MOZ
117,Afghanistan,4,AFG
118,Suriname,4,SUR
119,Kazakhstan,4,KAZ
120,Tanzania,3,
121,Liechtenstein,3,
122,Sudan,3,SDN
123,Barbados,3,
124,Namibia,3,NAM
125,Guatemala,3,GTM
126,Niger,3,NER
127,Central African Rep.,3,
128,Guyana,3,GUY
129,Burundi,3,BDI
130,St Kitts Nevis,3,
131,Uzbekistan,2,UZB
132,Bermuda,2,
133,Hong Kong,2,
134,Dominican Republic,2,DOM
135,Chad,2,TCD
136,Philippines,2,PHL
137,Eritrea,2,ERI
138,New Caledonia,1,NCL
139,Belize,1,BLZ
140,Ethiopia,1,ETH
141,Malta,1,
142,Fiji,1,FJI
143,Mauritius,1,
144,Qatar,1,QAT
145,St Lucia,1,
146,United Arab Emirates,1,ARE
147,São Tomé & Príncipe,1,
148,Botswana,1,BWA
149,Indonesia,1,IDN
150,Andorra,1,
151,Liberia,1,LBR
152,Grenada,1,
153,Puerto Rico,1,PRI
154,Oman,1,OMN
155,Kuwait,1,KWT
156,Guam,1,
157,Nicaragua,1,NIC
158,Palestine,1,
159,Lebanon,1,LBN
160,South Sudan,1,SDS
161,Jordan,1,JOR
162,Rwanda,1,RWA
